,Dates,URL,News,Price Direction Up,Price Direction Constant,Price Direction Down,Asset Comparision,Past Information,Future Information,Price Sentiment,Topic,Macro_Group,Probabilities,Dominant_Macro_Group,Topic_Label
0,28-01-2016,http://www.marketwatch.com/story/april-gold-down-20-cents-to-settle-at-111610oz-2016-01-28,"april gold down 20 cents to settle at $1,116.10/oz",0,0,1,0,1,0,negative,33,16,"[-27.631021115928547, -27.631021115928547, 1.000088900581841e-12, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547]",2,Gold Climbs in Trading
1,13-09-2017,http://www.marketwatch.com/story/gold-prices-snap-brief-slide-take-new-aim-at-one-year-highs-2017-09-13,gold suffers third straight daily decline,0,0,1,0,1,0,negative,4,3,"[-27.631021115928547, -27.631021115928547, 1.000088900581841e-12, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547]",2,Global Investment & Rate Impact
2,26-07-2016,http://www.marketwatch.com/story/gold-futures-edge-up-after-two-session-decline-2016-07-26,Gold futures edge up after two-session decline,1,0,0,0,1,0,positive,28,7,"[-27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, 1.000088900581841e-12, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547]",5,Gold Trading Momentum Continues
3,28-02-2018,https://www.metalsdaily.com/link/277199/dent-research-is-golds-day-in-the-sun-coming-soon.htm,dent research : is gold's day in the sun coming soon?,0,0,0,0,0,1,none,23,11,"[-27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, 1.000088900581841e-12, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547]",9,Gold Market Turning Points
4,06-09-2017,http://www.marketwatch.com/story/gold-steadies-near-best-mark-in-a-year-after-dovish-fed-view-stalls-dollar-2017-09-06,"Gold snaps three-day rally as Trump, lawmakers reach debt-ceiling deal",0,0,1,0,1,0,negative,-1,-1,"[-4.196897111170408, -5.228338252285433, -2.998307186851171, -3.626829386601534, -4.2114479808634036, -2.3462630247403355, -4.346125561659974, -3.2165738494402683, -5.345497337754998, -3.5195022680570123, -3.838182263138447, -2.462869197112463, -5.865548992879852, -4.673689623419663, -6.06263139580913, -1.9315680151990962, -4.709337496416136, -5.062392739216785]",15,noise
5,16-08-2016,http://www.marketwatch.com/story/dec-gold-climbs-940-or-07-to-settle-at-135690oz-2016-08-16,"Dec. gold climbs $9.40, or 0.7%, to settle at $1,356.90/oz",1,0,0,0,1,0,positive,33,16,"[-27.631021115928547, -27.631021115928547, 1.000088900581841e-12, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547]",2,Gold Climbs in Trading
6,24-09-2013,https://economictimes.indiatimes.com/markets/commodities/gold-falls-by-rs-25-on-sluggish-demand-global-cues/articleshow/22998672.cms,"gold falls by rs 25 on sluggish demand, global cues",0,0,1,0,1,0,negative,2,3,"[-3.513664317801055, -4.688288081790021, -2.190150437123253, -2.9464813727407213, -2.7743317511133987, -2.1446150662939814, -3.4031107173442563, -2.771636053980448, -4.5802598287226495, -2.4807186715046896, -3.895101140575027, -1.2056875612514095, -5.17567006772399, -4.257133213163213, -5.625758870819971, -3.234617630407194, -3.432527623797301, -4.390842696921823]",11,Global Investment & Rate Impact
7,23-09-2016,http://www.marketwatch.com/story/gold-futures-fall-for-the-session-but-gain-for-the-week-2016-09-23,"Gold futures fall for the session, but gain for the week",1,0,1,0,1,0,positive,6,3,"[-27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, 1.000088900581841e-12, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547]",11,Global Investment & Rate Impact
8,21-10-2012,https://www.thehindubusinessline.com/opinion/columns/g-chandrashekhar/gold-struggles-silver-slides-base-metals-falter/article20517742.ece1,"Gold struggles; silver slides, base metals falter",0,1,0,1,1,0,neutral,2,3,"[-4.031452786893836, -5.171344787536741, -2.79323728540644, -3.6171404342716755, -3.9099433975607623, -2.79504022439707, -4.476165983225418, -4.065507656848564, -5.074020940896383, -3.4374521647320635, -4.422500667808778, -0.3908434971392835, -5.864319169918908, -4.754848768928735, -6.26348201993761, -3.9124957568199723, -4.437155169288126, -4.999723716752353]",11,Global Investment & Rate Impact
9,16-03-2018,http://www.marketwatch.com/story/april-gold-holds-slight-gain-up-250-or-02-at-132020oz-2018-03-16,"april gold holds slight gain, up $2.50, or 0.2%, at $1320.20/oz.",1,0,0,0,1,0,positive,-1,-1,"[-3.810180208644445, -4.443624422475999, -2.293006047904237, -2.4439001845732093, -3.5351273194530353, -2.386862056632968, -4.011543567157627, -3.915611573566418, -4.216864423105969, -2.7178156735615264, -3.6996096959120335, -2.2260181760630533, -5.425365731342124, -4.008044217262989, -5.83189241203312, -3.4703346492779152, -4.184080387242434, -4.744709943752058]",11,noise
10,04-02-2009,http://www.marketwatch.com/story/feb-gold-ends-up-960-11,"feb. gold ends up $9.60, or 1.1%, at $901.60 an ounce",1,0,0,0,1,0,positive,21,3,"[-27.631021115928547, -27.631021115928547, 1.000088900581841e-12, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547]",2,Global Investment & Rate Impact
11,28-07-2017,https://economictimes.indiatimes.com/markets/commodities/news/gold-trades-in-red-in-early-trade-eyes-near-term-range-at-rs-28300-28600/articleshow/59803537.cms,"gold trades in red in early trade; eyes near-term range at rs 28,300-28,600",0,0,1,0,1,0,negative,31,8,"[-27.631021115928547, -27.631021115928547, 1.000088900581841e-12, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547]",2,Early Gold Trading Activity
12,31-10-2011,http://www.marketwatch.com/story/gold-loses-13-but-logs-monthly-gain-of-63-2011-10-31,"gold loses 1.3%, but logs monthly gain of 6.3%",1,0,1,0,1,0,positive,4,3,"[-4.40285627951014, -4.54383709500995, -0.3035639141856584, -3.9516415125626194, -4.796019649101486, -2.9913789482603974, -5.079762366002221, -4.972880223778344, -4.937293114756788, -4.279439776848235, -3.7101435783967993, -3.133690678905961, -6.067436399136936, -3.9558176440547013, -6.277638139704578, -3.977749047510008, -5.248459793642057, -5.390521378569694]",2,Global Investment & Rate Impact
13,21-09-2013,https://www.moneycontrol.com/news/business/markets/-1668497.html,gold recovery? here's one way to play it,1,0,0,0,0,1,positive,36,5,"[-5.693132301681594, -6.087153118437838, -2.1383963749670056, -5.359184656087061, -6.136047169655984, -4.260308003677764, -6.22988411788431, -6.162844756684917, -5.750015865639359, -5.4606664833557925, -6.029428514865269, -4.593982966597286, -6.613232609718011, -6.077968155400294, -6.8253402726491945, -5.523792485431609, -6.236111617676628, -6.485078331789066]",2,Time Sensitive Prediction
14,22-09-2017,https://economictimes.indiatimes.com/markets/commodities/news/gold-prices-rebound-rs-350-on-global-cues-weak-rupee/articleshow/60794262.cms,"gold prices rebound rs 350 on global cues, weak rupee",1,0,0,1,1,0,positive,11,2,"[-3.85419194659157, -5.020409076631636, -1.4191392923748265, -3.6194258111234547, -3.6568615311138477, -2.212048067975249, -3.7204410029721338, -3.8964692472360274, -4.8146272343974905, -3.1023590524321345, -4.532669874186806, -2.5851173580274196, -5.050227396640562, -4.724383464962537, -5.691384882103319, -3.839763975913179, -3.4993135927842234, -4.618359283425559]",2,Market Rates & Gold Demand
15,11-05-2016,https://www.moneycontrol.com/news/trends/24x7booking-trends/can-investmentgold-sensexppfs-givesame-returns-999662.html,"can investment in gold, sensex & ppfs give the same returns?",0,0,0,0,0,1,none,1,3,"[-27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, 1.000088900581841e-12, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547]",4,Global Investment & Rate Impact
16,14-05-2013,https://economictimes.indiatimes.com/news/economy/indicators/gold-rush-spooks-economy-as-trade-deficit-surges-to-17-8-bn/articleshow/20040266.cms,gold rush spooks economy as trade deficit surges to $17.8 bn,1,0,0,0,1,0,positive,13,18,"[-3.9501303019360785, -5.0483669585087, -1.9439759713229372, -3.675182800065354, -3.8427302287570213, -1.5271683637396343, -3.9652217587186223, -3.7760236720260285, -4.830621940849706, -3.01360454052288, -4.550515730359335, -2.6873164026902767, -5.053491726761371, -4.76281597952905, -5.66138866567669, -3.8557834058669362, -3.510788967120583, -4.693670982531039]",5,Rate Hikes/Cuts Price Impact
17,04-09-2018,https://www.thehindubusinessline.com/markets/gold/gold-futures-down-at-rs-30244/article24861849.ece,"Gold futures down at Rs 30,244 ",0,0,1,0,1,0,negative,19,3,"[1.000088900581841e-12, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547]",0,Global Investment & Rate Impact
18,04-09-2018,https://www.metalsdaily.com/link/282776/state-street-gold-likely-to-climb-back-to-$1-350-an-ounce-by-the-end-of-2018.htm,"state street : gold likely to climb back to $1,350 an ounce by the end of 2018",1,0,0,0,1,0,positive,14,1,"[-27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, 1.000088900581841e-12, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547]",5,Gold Price Support Levels
19,09-12-2016,http://www.investing.com/news/commodities-news/gold-prices-slip-lower-as-dollar-remains-supported-446716,gold prices slip lower as dollar remains supported,0,0,1,1,1,0,negative,15,12,"[-27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, 1.000088900581841e-12, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547]",11,Global Cues and Gold Stability
20,03-02-2017,https://www.moneycontrol.com/news/business/stocks/gold-to-trade28670-29160-range-achiievers-equities-948756.html,gold to trade in 28670-29160 range: achiievers equities,0,1,0,0,0,1,neutral,-1,-1,"[-4.268429265051954, -5.0797053068022375, -2.7760139087048845, -3.987129354735531, -4.5209187739171535, -2.9494568108321473, -4.662461992931082, -4.742497291015776, -4.661479939818685, -3.942979104425356, -4.9742105611840985, -3.0451306070161355, -4.895653248989608, -5.085832057341629, -5.980017366806028, -4.312715432268181, -4.361285753258629, -5.0288528411162705]",2,noise
21,19-06-2015,https://www.thehindubusinessline.com/markets/gold/gold-holds-firm-near-1200-on-dovish-fed/article7332525.ece,"Gold holds firm near $1,200 on dovish Fed",0,1,0,0,1,0,neutral,3,3,"[-3.7609860875322076, -4.7817278681165245, -2.626728429074513, -3.2610591236046034, -4.017674970392149, -1.8317724650836205, -4.235157554384415, -3.4159208760863757, -4.914429735707753, -3.427633692712972, -3.1271349540840525, -2.1607208124367046, -5.465334859172382, -4.290376399932974, -5.604493251482349, -2.29691267424994, -4.481591349473565, -4.65718838436428]",5,Global Investment & Rate Impact
22,25-09-2017,http://www.marketwatch.com/story/gold-prices-finish-at-a-more-than-one-week-high-2017-09-25,Gold prices finish at a more than one-week high,1,0,0,0,1,0,positive,8,3,"[-4.020250401616513, -4.602215465370543, -2.3546559610737066, -3.7978117521188905, -4.5522028935985555, -2.6262471818953226, -4.743212251276508, -4.577805319577199, -4.8535931175688125, -3.9772898419148937, -3.3658491099006427, -2.8060262928181587, -5.7148095471684845, -0.97258637079088, -5.807023613767292, -3.571818192071772, -4.9329868323551125, -4.987835249205172]",13,Global Investment & Rate Impact
23,28-02-2018,https://www.metalsdaily.com/link/277185/india-is-gold-a-good-investment-in-a-volatile-market.htm,india : is gold a good investment in a volatile market?,0,0,0,0,0,1,none,11,2,"[-27.631021115928547, -27.631021115928547, 1.000088900581841e-12, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547]",2,Market Rates & Gold Demand
24,13-12-2012,http://www.marketwatch.com/story/gold-futures-down-over-20oz-ahead-of-settlement-2012-12-13,gold futures down over $20/oz ahead of settlement,0,0,1,0,1,0,negative,28,7,"[-3.165413939788838, -4.807122954857712, -2.6624125731801422, -3.670925687751617, -4.390192661636033, -1.124449684560899, -4.635996495007382, -4.43063567685011, -5.161543172636593, -3.9877699152005355, -4.156692336550442, -2.4261487552268184, -5.7336350674225, -4.449473572961695, -5.890849768529493, -2.5687337330060385, -4.901648773757991, -4.5361149897704385]",5,Gold Trading Momentum Continues
25,30-01-2017,http://www.marketwatch.com/story/gold-holds-modest-gains-up-310-or-03-at-119150oz-after-data-2017-01-30,"Gold holds modest gains, up $3.10, or 0.3%, at $1,191.50/oz. after data",1,0,0,0,1,0,positive,18,17,"[-3.7756154047378097, -4.695732711947799, -2.6773913586010565, -2.819039409934691, -3.970141503462997, -0.8512878883115366, -4.377458978124451, -3.933797224109095, -4.822572284012071, -3.625982408411668, -3.9295854774100665, -2.4897391966810805, -5.44176444504712, -4.60820096166033, -5.736795185185692, -3.2790271080336177, -4.468693798867953, -4.688744656031261]",5,Gold Holds as Data Releases
26,15-03-2006,http://www.marketwatch.com/story/april-gold-up-140-to-end-the-day-at-55440oz-in-ny-2006-03-15,april gold up $1.40 to end the day at $554.40/oz in ny,1,0,0,0,1,0,positive,-1,-1,"[-7.105659559950817, -8.06538636989819, -5.7425669266601105, -7.083760495012455, -7.682105064777779, -5.724472215524165, -7.708293559024501, -7.57300619983862, -7.949419760899226, -6.900722622525554, -7.802466878384585, -6.163159847462558, -7.815744598096109, -7.942725710713881, -8.501192993967807, -7.123906891382997, -7.535721165320841, -7.758855105567804]",5,noise
27,01-11-2011,https://www.moneycontrol.com/news/business/stocks/-1946461.html,"Gold, Silver may trade lower today: Angel Commodities",0,0,1,1,1,0,negative,-1,-1,"[-3.2349743839223124, -4.277258728937732, -1.7442280272527768, -2.8472001658842734, -3.011080300959934, -2.033622934959696, -3.2623787273520315, -3.606718542960918, -4.265879586787793, -2.810873452881787, -4.006048513183928, -1.930191437320124, -4.667655518024343, -4.213216010242181, -5.505415786935576, -3.2697658220599353, -3.109712055331703, -4.083202250320554]",2,noise
