,Dates,URL,News,Price Direction Up,Price Direction Constant,Price Direction Down,Asset Comparision,Past Information,Future Information,Price Sentiment,Topic,Macro_Group,Probabilities,Dominant_Macro_Group,Macro_Group_Label
0,28-01-2016,http://www.marketwatch.com/story/april-gold-down-20-cents-to-settle-at-111610oz-2016-01-28,"april gold down 20 cents to settle at $1,116.10/oz",0,0,1,0,1,0,negative,-1,-1,"[-5.837424047996089, -6.429251203725082, -5.896624177507456, -5.928148800030247, -6.4029087522902906, -6.4315487373733236, -5.262496244381304, -6.774814293389115, -7.175291982613457, -7.135593887283808, -7.202704977958617, -5.326282369622353, -7.985348503164354, -7.0906328225846265, -6.458848080691745, -7.221041640257093, -7.927107810930899, -6.482240455259174, -7.821129938601735, -7.78721579852684]",6,"Gold Market: Trends, Fluctuations, and Outlook"
1,13-09-2017,http://www.marketwatch.com/story/gold-prices-snap-brief-slide-take-new-aim-at-one-year-highs-2017-09-13,gold suffers third straight daily decline,0,0,1,0,1,0,negative,42,12,"[-27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, 1.000088900581841e-12, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547]",8,Gold Market Price Fluctuations and News
2,26-07-2016,http://www.marketwatch.com/story/gold-futures-edge-up-after-two-session-decline-2016-07-26,Gold futures edge up after two-session decline,1,0,0,0,1,0,positive,27,2,"[-27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, 1.000088900581841e-12, -27.631021115928547, -27.631021115928547]",17,Gold Price Fluctuations and Influences
3,28-02-2018,https://www.metalsdaily.com/link/277199/dent-research-is-golds-day-in-the-sun-coming-soon.htm,dent research : is gold's day in the sun coming soon?,0,0,0,0,0,1,none,0,5,"[-27.631021115928547, -27.631021115928547, 1.000088900581841e-12, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547]",2,Gold Price Fluctuations and Market Factors
4,06-09-2017,http://www.marketwatch.com/story/gold-steadies-near-best-mark-in-a-year-after-dovish-fed-view-stalls-dollar-2017-09-06,"Gold snaps three-day rally as Trump, lawmakers reach debt-ceiling deal",0,0,1,0,1,0,negative,-1,-1,"[-1.4324434218289634, -4.106211919576988, -3.4806401853047055, -2.776352609136191, -4.398840451060906, -4.260256987779402, -3.9646774134147713, -4.990437520978318, -4.9376454940268815, -4.485350265592851, -4.700124109998567, -3.023618749698739, -6.003052435533704, -4.911418524032822, -3.65597129023269, -4.2613293086690245, -5.843177693645611, -3.324343932135466, -6.491511570290233, -6.2204021016771875]",0,"Gold Market: Trends, Fluctuations, and Outlook"
5,16-08-2016,http://www.marketwatch.com/story/dec-gold-climbs-940-or-07-to-settle-at-135690oz-2016-08-16,"Dec. gold climbs $9.40, or 0.7%, to settle at $1,356.90/oz",1,0,0,0,1,0,positive,39,4,"[-27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, 1.000088900581841e-12, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547]",6,Gold Price Fluctuations and Data
6,24-09-2013,https://economictimes.indiatimes.com/markets/commodities/gold-falls-by-rs-25-on-sluggish-demand-global-cues/articleshow/22998672.cms,"gold falls by rs 25 on sluggish demand, global cues",0,0,1,0,1,0,negative,0,5,"[-1.9364062832728428, -2.6783534508982, -1.5078403305768209, -2.921749214976898, -3.5654263067322027, -3.1790453986358465, -2.9625094134694967, -4.0035942180063415, -4.1378483024329995, -3.367655590348143, -4.037650593522696, -2.311118606484718, -5.243844687686156, -3.300220964430056, -3.1835630501681367, -3.7175606301003783, -5.087726210593053, -2.494210242090048, -5.5793749287676, -5.42270488597071]",2,Gold Price Fluctuations and Market Factors
7,23-09-2016,http://www.marketwatch.com/story/gold-futures-fall-for-the-session-but-gain-for-the-week-2016-09-23,"Gold futures fall for the session, but gain for the week",1,0,1,0,1,0,positive,5,20,"[-27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, 1.000088900581841e-12, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547]",14,Gold Futures: Price Fluctuations & Trends
8,21-10-2012,https://www.thehindubusinessline.com/opinion/columns/g-chandrashekhar/gold-struggles-silver-slides-base-metals-falter/article20517742.ece1,"Gold struggles; silver slides, base metals falter",0,1,0,1,1,0,neutral,0,5,"[-27.631021115928547, -27.631021115928547, 1.000088900581841e-12, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547]",2,Gold Price Fluctuations and Market Factors
9,16-03-2018,http://www.marketwatch.com/story/april-gold-holds-slight-gain-up-250-or-02-at-132020oz-2018-03-16,"april gold holds slight gain, up $2.50, or 0.2%, at $1320.20/oz.",1,0,0,0,1,0,positive,0,5,"[-2.4016268585147915, -3.070322181102394, -2.171489814712401, -2.726630093979149, -3.623384089859776, -3.0959446484261854, -2.8698397551616357, -4.08923975643561, -3.518116769742253, -3.7307223183487874, -3.8796234084731998, -1.5599571142778024, -5.254197323406119, -3.92562415414182, -2.8174675628600148, -3.6029370608044777, -4.9719226309281614, -3.0915948621102607, -5.356024991745421, -5.378309728271072]",11,Gold Price Fluctuations and Market Factors
10,04-02-2009,http://www.marketwatch.com/story/feb-gold-ends-up-960-11,"feb. gold ends up $9.60, or 1.1%, at $901.60 an ounce",1,0,0,0,1,0,positive,33,15,"[-27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, 1.000088900581841e-12]",19,Gold Price Fluctuations in News
11,28-07-2017,https://economictimes.indiatimes.com/markets/commodities/news/gold-trades-in-red-in-early-trade-eyes-near-term-range-at-rs-28300-28600/articleshow/59803537.cms,"gold trades in red in early trade; eyes near-term range at rs 28,300-28,600",0,0,1,0,1,0,negative,7,17,"[-3.6824435617170175, -3.9572297008924133, -3.5479359325971074, -3.6566800594397257, -4.470392085038478, -4.265704168516743, -3.654099816604696, -4.759874768964825, -5.165371257726192, -4.808755939536422, -5.191637867949433, -2.873571431816995, -6.043719850689172, -4.454250370141173, -4.3896020769266055, -5.113743549028816, -5.937562356911169, -4.328428419331044, -6.215147447983353, -6.220323850907487]",11,**Gold Price Fluctuations and Trends**
12,31-10-2011,http://www.marketwatch.com/story/gold-loses-13-but-logs-monthly-gain-of-63-2011-10-31,"gold loses 1.3%, but logs monthly gain of 6.3%",1,0,1,0,1,0,positive,42,12,"[-27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, 1.000088900581841e-12, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547]",8,Gold Market Price Fluctuations and News
13,21-09-2013,https://www.moneycontrol.com/news/business/markets/-1668497.html,gold recovery? here's one way to play it,1,0,0,0,0,1,positive,28,3,"[-4.609674713865925, -5.322527047404566, -4.664547589031983, -5.016595995269147, -0.4804907815542565, -5.400655540930514, -4.514458372861123, -5.4108230115369125, -6.194972160553713, -6.07192958162079, -6.130507657963579, -4.429143504442258, -6.125885100529429, -6.035423407919428, -5.427355917474509, -6.0584459802177495, -5.873540921083298, -5.340554946227117, -6.74225941459238, -6.549670903765737]",4,Fluctuations and Trends in Gold Prices
14,22-09-2017,https://economictimes.indiatimes.com/markets/commodities/news/gold-prices-rebound-rs-350-on-global-cues-weak-rupee/articleshow/60794262.cms,"gold prices rebound rs 350 on global cues, weak rupee",1,0,0,1,1,0,positive,-1,-1,"[-3.0322143768948413, -1.7853109136763001, -3.0024696744504773, -3.6553886061240264, -4.0937205035519995, -2.85576759372155, -3.486710124151826, -4.444087139262103, -4.946336906152297, -4.432302556622847, -4.898484359162842, -3.0164517725015245, -5.740828655793644, -3.542617761743017, -4.102614041798637, -4.646370308995583, -5.514253745753239, -3.54435982790651, -6.028002350088339, -5.921690764630731]",1,"Gold Market: Trends, Fluctuations, and Outlook"
15,11-05-2016,https://www.moneycontrol.com/news/trends/24x7booking-trends/can-investmentgold-sensexppfs-givesame-returns-999662.html,"can investment in gold, sensex & ppfs give the same returns?",0,0,0,0,0,1,none,0,5,"[-2.681352844060431, -2.616710849976476, -0.6114411328173909, -3.488573673430508, -4.062226350658849, -3.726808390590109, -3.4811116380148275, -4.470876257835113, -4.694297674621571, -3.952464551580813, -4.608892938385609, -2.867860909984826, -5.688090460662807, -3.689525329351932, -3.8053607900430273, -4.3694183284047705, -5.5203259817146115, -3.3666363943936526, -6.054710714953869, -5.948761633669698]",2,Gold Price Fluctuations and Market Factors
16,14-05-2013,https://economictimes.indiatimes.com/news/economy/indicators/gold-rush-spooks-economy-as-trade-deficit-surges-to-17-8-bn/articleshow/20040266.cms,gold rush spooks economy as trade deficit surges to $17.8 bn,1,0,0,0,1,0,positive,9,13,"[-3.004214704157531, -2.4477546124250082, -3.070125871016345, -3.5873133935136883, -3.9423848091408207, -1.6877274937701419, -3.3648717027010098, -4.318333662660997, -4.91795547327634, -4.412504109165598, -4.843383843277346, -2.9841337431039356, -5.563221499869556, -3.5795474234291964, -4.053312714035599, -4.649817073482827, -5.330900094190341, -3.280090770567361, -5.8951826804783405, -5.736646975773805]",5,**India's Gold Import Regulations & Trends**
17,04-09-2018,https://www.thehindubusinessline.com/markets/gold/gold-futures-down-at-rs-30244/article24861849.ece,"Gold futures down at Rs 30,244 ",0,0,1,0,1,0,negative,17,7,"[-27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, 1.000088900581841e-12, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547, -27.631021115928547]",4,**Gold Price Fluctuations & Fed Influence**
